Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Category,Is_Outlier,Year,Month
West Gear,1189833,2020-07-20,South,Louisiana,New Orleans,Women's Street Footwear,45.16,273,12328.68,2649.07,0.2149,Outlet,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-20,South,Oklahoma,Tulsa,Women's Athletic Footwear,101.14,356,36005.84,9899.18,0.2749,Online,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-20,Southeast,North Carolina,Charlotte,Men's Apparel,25.19,124,3123.56,1360.21,0.4355,In-store,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-20,West,California,San Diego,Women's Athletic Footwear,93.81,451,42308.31,13149.48,0.3108,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-20,Northeast,New York,New York,Men's Apparel,39.87,371,14791.77,6091.09,0.4118,In-store,Apparel,False,2020,2020-07
West Gear,1189833,2020-07-20,Midwest,Minnesota,Saint Paul,Women's Street Footwear,63.71,73,4650.83,1150.63,0.2474,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-20,Southeast,Florida,Orlando,Women's Street Footwear,81.64,497,40575.08,11166.33,0.2752,Online,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-20,Midwest,Michigan,Detroit,Men's Apparel,56.7,578,32772.6,10789.58,0.3292,Online,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-20,South,Oklahoma,Oklahoma City,Men's Apparel,32.21,363,11692.23,4577.2,0.3915,Online,Apparel,False,2020,2020-07
West Gear,1189833,2020-07-20,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,85.43,834,71248.62,37984.87,0.5331,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-20,West,Colorado,Colorado Springs,Men's Apparel,30.55,659,20132.45,5835.58,0.2899,Online,Apparel,False,2020,2020-07
West Gear,1189833,2020-07-20,Southeast,Virginia,Virginia Beach,Women's Athletic Footwear,56.25,142,7987.5,3395.91,0.4252,In-store,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-20,South,Tennessee,Memphis,Women's Apparel,26.56,173,4594.88,1389.29,0.3024,Online,Apparel,False,2020,2020-07
Amazon,1128302,2020-07-20,West,Nevada,Reno,Men's Street Footwear,70.92,312,22127.04,8611.34,0.3892,In-store,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-21,West,Colorado,Colorado Springs,Women's Apparel,54.87,725,39780.75,8586.35,0.2158,Outlet,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-21,Southeast,Virginia,Richmond,Women's Street Footwear,59.39,319,18945.41,4287.97,0.2263,Outlet,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-21,South,Louisiana,New Orleans,Men's Street Footwear,48.16,670,32267.2,12646.28,0.3919,Online,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-21,Southeast,Florida,Miami,Women's Athletic Footwear,102.69,535,54939.15,21144.81,0.3849,In-store,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-21,Northeast,Massachusetts,Boston,Women's Apparel,43.64,206,8989.84,3199.91,0.3559,Online,Apparel,False,2020,2020-07
Kohl's,1197834,2020-07-21,South,Texas,Austin,Men's Street Footwear,79.39,234,18577.26,6698.82,0.3606,Online,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,70.15,764,53594.6,12261.85,0.2288,Outlet,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-21,Northeast,New York,Buffalo,Women's Apparel,34.89,206,7187.34,2658.61,0.3699,Online,Apparel,False,2020,2020-07
Sports Direct,1128299,2020-07-21,Midwest,Ohio,Columbus,Women's Street Footwear,74.01,588,43517.88,21736.18,0.4995,In-store,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-21,West,Colorado,Denver,Women's Apparel,28.3,26,735.8,300.45,0.4083,In-store,Apparel,False,2020,2020-07
Kohl's,1197834,2020-07-21,West,Colorado,Denver,Women's Apparel,57.52,539,31003.28,11968.65,0.386,In-store,Apparel,False,2020,2020-07
Amazon,1128302,2020-07-21,Midwest,Ohio,Columbus,Men's Street Footwear,69.64,714,49722.96,16737.28,0.3366,Online,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-21,Midwest,Ohio,Columbus,Women's Athletic Footwear,74.65,133,9928.45,1917.34,0.1931,Outlet,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-22,Southeast,Florida,Orlando,Men's Street Footwear,99.24,261,25901.64,11571.69,0.4468,In-store,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-22,West,California,San Diego,Women's Apparel,48.36,805,38929.8,15352.61,0.3944,Online,Apparel,False,2020,2020-07
West Gear,1189833,2020-07-22,Northeast,New Jersey,Jersey City,Women's Street Footwear,45.16,223,10070.68,1825.84,0.1813,Outlet,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-22,West,Washington,Seattle,Women's Apparel,26.79,615,16475.85,5087.2,0.3088,Online,Apparel,False,2020,2020-07
Sports Direct,1128299,2020-07-22,South,Tennessee,Memphis,Women's Street Footwear,55.74,682,38014.68,15674.98,0.4123,In-store,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-22,West,Nevada,Reno,Men's Street Footwear,79.47,829,65880.63,27315.5,0.4146,In-store,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-22,South,Louisiana,Baton Rouge,Women's Athletic Footwear,100.04,101,10104.04,3845.92,0.3806,In-store,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-22,Northeast,Massachusetts,Boston,Women's Apparel,53.61,457,24499.77,7654.81,0.3124,Online,Apparel,False,2020,2020-07
Walmart,1197831,2020-07-22,West,California,San Diego,Women's Athletic Footwear,58.7,304,17844.8,5359.48,0.3003,Outlet,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-22,Southeast,Georgia,Atlanta,Women's Street Footwear,66.15,498,32942.7,13198.98,0.4007,In-store,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-22,Southeast,North Carolina,Charlotte,Men's Street Footwear,82.16,177,14542.32,7302.11,0.5021,In-store,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-22,West,Nevada,Reno,Men's Athletic Footwear,81.48,117,9533.16,4670.74,0.4899,In-store,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-22,Northeast,New Jersey,Jersey City,Women's Athletic Footwear,73.09,499,36471.91,10576.21,0.29,Online,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-22,South,Oklahoma,Oklahoma City,Men's Apparel,41.6,465,19344.0,5909.25,0.3055,Online,Apparel,False,2020,2020-07
West Gear,1189833,2020-07-23,Midwest,Ohio,Cleveland,Women's Street Footwear,50.62,104,5264.48,1439.32,0.2734,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-23,West,California,San Diego,Men's Street Footwear,93.04,805,74897.2,24583.04,0.3282,Online,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-23,Midwest,Minnesota,Minneapolis,Women's Street Footwear,50.78,237,12034.86,3596.07,0.2988,Online,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-23,Northeast,Massachusetts,Worcester,Men's Athletic Footwear,56.72,685,38853.2,19383.06,0.4989,In-store,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-23,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,89.28,514,45889.92,17853.07,0.389,Online,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-23,Southeast,Florida,Tampa,Men's Street Footwear,61.35,713,43742.55,21598.88,0.4938,In-store,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-23,Southeast,North Carolina,Raleigh,Men's Apparel,52.3,775,40532.5,19719.45,0.4865,In-store,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-23,South,Texas,Austin,Women's Street Footwear,58.85,69,4060.65,1889.35,0.4653,In-store,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-23,Southeast,Georgia,Atlanta,Men's Apparel,27.65,421,11640.65,4380.92,0.3763,In-store,Apparel,False,2020,2020-07
Kohl's,1197834,2020-07-23,Midwest,Illinois,Chicago,Women's Apparel,40.05,364,14578.2,6155.8,0.4223,In-store,Apparel,False,2020,2020-07
Amazon,1128302,2020-07-23,Northeast,New York,Albany,Men's Street Footwear,65.05,400,26020.0,5369.52,0.2064,Outlet,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-24,West,Nevada,Las Vegas,Men's Apparel,23.95,761,18225.95,7695.07,0.4222,In-store,Apparel,False,2020,2020-07
Sports Direct,1128299,2020-07-24,Northeast,Pennsylvania,Pittsburgh,Women's Apparel,34.25,85,2911.25,466.58,0.1603,Outlet,Apparel,False,2020,2020-07
Walmart,1197831,2020-07-24,South,Oklahoma,Tulsa,Men's Apparel,57.88,225,13023.0,4710.14,0.3617,In-store,Apparel,False,2020,2020-07
Kohl's,1197834,2020-07-24,Northeast,New Jersey,Newark,Women's Street Footwear,85.15,178,15156.7,6133.12,0.4046,In-store,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-24,Northeast,New Jersey,Newark,Women's Street Footwear,49.3,157,7740.1,1602.49,0.207,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-24,Southeast,Florida,Miami,Men's Athletic Footwear,111.72,379,42341.88,18671.56,0.441,In-store,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-24,Northeast,Pennsylvania,Pittsburgh,Men's Street Footwear,94.3,781,73648.3,26545.09,0.3604,Online,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-24,Southeast,Virginia,Virginia Beach,Men's Apparel,29.38,15,440.7,191.47,0.4345,In-store,Apparel,False,2020,2020-07
Walmart,1197831,2020-07-24,West,Nevada,Las Vegas,Women's Street Footwear,83.54,427,35671.58,16828.05,0.4717,In-store,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-24,West,Nevada,Las Vegas,Women's Street Footwear,76.16,714,54378.24,22117.5,0.4067,Online,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-24,Midwest,Minnesota,Minneapolis,Women's Apparel,31.37,495,15528.15,6622.16,0.4265,In-store,Apparel,False,2020,2020-07
West Gear,1189833,2020-07-24,West,Washington,Spokane,Women's Apparel,33.15,523,17337.45,4870.39,0.2809,Online,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-24,Midwest,Illinois,Springfield,Women's Apparel,25.03,594,14867.82,3370.16,0.2267,Online,Apparel,False,2020,2020-07
West Gear,1189833,2020-07-24,Southeast,Georgia,Savannah,Women's Apparel,49.3,530,26129.0,9375.07,0.3588,In-store,Apparel,False,2020,2020-07
Kohl's,1197834,2020-07-24,Southeast,Georgia,Savannah,Men's Athletic Footwear,65.43,534,34939.62,12863.22,0.3682,In-store,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-24,Southeast,Virginia,Virginia Beach,Men's Street Footwear,80.68,602,48569.36,12826.74,0.2641,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-24,Southeast,Virginia,Richmond,Women's Apparel,36.06,304,10962.24,3714.45,0.3388,Online,Apparel,False,2020,2020-07
Walmart,1197831,2020-07-24,Southeast,Georgia,Savannah,Women's Apparel,38.2,638,24371.6,10958.61,0.4496,Online,Apparel,False,2020,2020-07
Amazon,1128302,2020-07-24,Northeast,Pennsylvania,Philadelphia,Men's Apparel,32.81,751,24640.31,10478.49,0.4253,In-store,Apparel,False,2020,2020-07
Sports Direct,1128299,2020-07-24,Midwest,Ohio,Columbus,Men's Athletic Footwear,79.41,671,53284.11,16656.3,0.3126,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-25,West,California,San Diego,Women's Street Footwear,87.04,259,22543.36,8619.44,0.3823,In-store,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-25,Northeast,Massachusetts,Boston,Women's Athletic Footwear,61.56,240,14774.4,5722.78,0.3873,Online,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-25,Midwest,Ohio,Cleveland,Men's Athletic Footwear,118.08,274,32353.92,13836.25,0.4277,In-store,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-25,South,Louisiana,New Orleans,Women's Street Footwear,42.06,786,33059.16,9903.34,0.2996,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-25,Southeast,Florida,Orlando,Women's Apparel,47.78,118,5638.04,1385.07,0.2457,Online,Apparel,False,2020,2020-07
Kohl's,1197834,2020-07-25,West,Nevada,Reno,Women's Athletic Footwear,114.14,360,41090.4,16258.45,0.3957,In-store,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-25,West,Colorado,Colorado Springs,Women's Street Footwear,79.96,482,38540.72,15337.15,0.3979,In-store,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-25,Southeast,North Carolina,Raleigh,Women's Athletic Footwear,92.86,34,3157.24,1343.61,0.4256,In-store,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-25,Midwest,Michigan,Grand Rapids,Men's Apparel,29.07,354,10290.78,2553.89,0.2482,Online,Apparel,False,2020,2020-07
Sports Direct,1128299,2020-07-25,South,Oklahoma,Tulsa,Women's Street Footwear,64.69,788,50975.72,13743.75,0.2696,Outlet,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-25,Midwest,Illinois,Chicago,Men's Athletic Footwear,84.88,128,10864.64,3549.28,0.3267,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-25,West,Washington,Seattle,Women's Apparel,23.84,237,5650.08,1030.58,0.1824,Outlet,Apparel,False,2020,2020-07
Walmart,1197831,2020-07-26,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,61.86,27,1670.22,792.27,0.4744,In-store,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-26,West,Washington,Spokane,Men's Apparel,28.34,803,22757.02,2675.98,0.1176,Outlet,Apparel,False,2020,2020-07
Walmart,1197831,2020-07-26,Midwest,Illinois,Springfield,Men's Street Footwear,76.61,41,3141.01,888.07,0.2827,Outlet,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-26,Northeast,Pennsylvania,Pittsburgh,Men's Athletic Footwear,89.54,156,13968.24,4307.2,0.3084,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-26,West,Colorado,Colorado Springs,Men's Street Footwear,39.12,245,9584.4,2011.17,0.2098,Outlet,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-26,Northeast,New York,Buffalo,Men's Street Footwear,46.56,120,5587.2,1433.63,0.2566,Outlet,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-26,Midwest,Minnesota,Minneapolis,Women's Apparel,35.55,71,2524.05,770.62,0.3053,Online,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-26,Northeast,New York,Albany,Women's Apparel,57.91,401,23221.91,11139.96,0.4797,In-store,Apparel,False,2020,2020-07
Amazon,1128302,2020-07-26,Southeast,Georgia,Atlanta,Women's Street Footwear,76.26,626,47738.76,12674.95,0.2655,Online,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-26,West,Nevada,Las Vegas,Men's Athletic Footwear,53.13,794,42185.22,3905.69,0.0926,Outlet,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-26,Southeast,Virginia,Richmond,Women's Athletic Footwear,74.53,531,39575.43,12234.72,0.3091,Online,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-26,Southeast,Virginia,Virginia Beach,Women's Apparel,29.1,240,6984.0,2061.48,0.2952,Outlet,Apparel,False,2020,2020-07
Kohl's,1197834,2020-07-26,Southeast,Florida,Miami,Men's Street Footwear,65.81,112,7370.72,2944.93,0.3995,Online,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-26,West,Colorado,Denver,Women's Apparel,35.02,340,11906.8,3142.25,0.2639,Outlet,Apparel,False,2020,2020-07
Kohl's,1197834,2020-07-26,Northeast,Massachusetts,Worcester,Women's Street Footwear,76.26,137,10447.62,3832.1,0.3668,In-store,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-26,Southeast,Georgia,Atlanta,Men's Athletic Footwear,75.8,404,30623.2,12904.51,0.4214,In-store,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-26,West,Washington,Seattle,Women's Athletic Footwear,67.99,293,19921.07,3820.79,0.1918,Outlet,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-26,South,Louisiana,New Orleans,Women's Athletic Footwear,54.22,468,25374.96,9542.73,0.3761,Online,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-26,Northeast,Massachusetts,Boston,Women's Apparel,35.15,378,13286.7,4173.29,0.3141,Outlet,Apparel,False,2020,2020-07
Sports Direct,1128299,2020-07-27,West,Nevada,Las Vegas,Men's Athletic Footwear,67.38,276,18596.88,2166.98,0.1165,Outlet,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-27,Midwest,Ohio,Cleveland,Men's Street Footwear,65.42,145,9485.9,3190.72,0.3364,Online,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-27,Northeast,New York,Buffalo,Men's Street Footwear,79.14,808,63945.12,10228.53,0.16,Outlet,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-27,West,Washington,Seattle,Women's Apparel,49.5,400,19800.0,6987.86,0.3529,Online,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-27,Midwest,Michigan,Detroit,Women's Street Footwear,55.05,524,28846.2,11729.49,0.4066,In-store,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-27,Midwest,Michigan,Detroit,Women's Athletic Footwear,82.62,731,60395.22,17523.64,0.2901,Online,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-27,South,Louisiana,Baton Rouge,Women's Street Footwear,83.21,610,50758.1,17442.46,0.3436,Online,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-27,South,Oklahoma,Oklahoma City,Women's Apparel,39.74,109,4331.66,1250.41,0.2887,Outlet,Apparel,False,2020,2020-07
Walmart,1197831,2020-07-27,South,Louisiana,Baton Rouge,Men's Apparel,16.3,312,5085.6,905.76,0.1781,Outlet,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-27,South,Oklahoma,Oklahoma City,Men's Street Footwear,54.47,345,18792.15,6475.77,0.3446,In-store,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-27,Northeast,Massachusetts,Worcester,Women's Athletic Footwear,96.76,634,61345.84,19384.17,0.316,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-27,Southeast,Florida,Orlando,Men's Athletic Footwear,55.03,384,21131.52,5213.0,0.2467,Online,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-27,Southeast,North Carolina,Charlotte,Women's Street Footwear,54.67,439,24000.13,10771.96,0.4488,In-store,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-27,Midwest,Michigan,Grand Rapids,Men's Street Footwear,52.43,606,31772.58,14898.79,0.4689,Online,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-27,Southeast,Georgia,Savannah,Men's Apparel,30.46,77,2345.42,687.17,0.293,Online,Apparel,False,2020,2020-07
Kohl's,1197834,2020-07-28,South,Texas,Houston,Men's Athletic Footwear,79.53,249,19802.97,7925.75,0.4002,In-store,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-28,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,45.6,641,29229.6,9248.8,0.3164,Online,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-28,South,Louisiana,Baton Rouge,Women's Street Footwear,33.06,773,25555.38,5215.14,0.2041,Outlet,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-28,Northeast,Pennsylvania,Pittsburgh,Women's Apparel,40.12,84,3370.08,1334.69,0.396,Online,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-28,Midwest,Ohio,Columbus,Women's Athletic Footwear,73.84,222,16392.48,7629.01,0.4654,In-store,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-28,West,California,San Diego,Men's Athletic Footwear,68.02,684,46525.68,15358.03,0.3301,Online,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-28,West,Colorado,Colorado Springs,Women's Apparel,37.2,571,21241.2,6655.57,0.3133,Outlet,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-28,Northeast,Pennsylvania,Pittsburgh,Men's Street Footwear,52.67,390,20541.3,6146.02,0.2992,Online,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-28,South,Louisiana,New Orleans,Men's Apparel,50.58,316,15983.28,6861.01,0.4293,In-store,Apparel,False,2020,2020-07
Kohl's,1197834,2020-07-28,West,Nevada,Reno,Men's Athletic Footwear,61.67,496,30588.32,9504.22,0.3107,Online,Footwear,False,2020,2020-07
Sports Direct,1128299,2020-07-28,Northeast,Massachusetts,Boston,Men's Street Footwear,92.73,524,48590.52,23457.91,0.4828,In-store,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-28,South,Tennessee,Nashville,Men's Athletic Footwear,72.5,221,16022.5,6675.05,0.4166,In-store,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-28,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,74.82,398,29778.36,8482.78,0.2849,Online,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-28,South,Louisiana,Baton Rouge,Men's Street Footwear,81.13,433,35129.29,13266.42,0.3776,Online,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-28,Northeast,Pennsylvania,Pittsburgh,Men's Apparel,59.95,371,22241.45,10929.94,0.4914,In-store,Apparel,False,2020,2020-07
Amazon,1128302,2020-07-28,West,Nevada,Las Vegas,Women's Athletic Footwear,53.04,686,36385.44,15083.07,0.4145,Online,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-29,Northeast,New Jersey,Newark,Women's Apparel,56.77,138,7834.26,3422.09,0.4368,In-store,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-29,Midwest,Minnesota,Saint Paul,Men's Street Footwear,71.12,194,13797.28,3304.78,0.2395,Outlet,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-29,West,California,San Francisco,Women's Street Footwear,74.57,107,7978.99,1107.77,0.1388,Outlet,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-29,West,Colorado,Denver,Men's Street Footwear,75.62,360,27223.2,5535.15,0.2033,Online,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-29,Northeast,New York,Buffalo,Women's Athletic Footwear,79.16,750,59370.0,21674.18,0.3651,Online,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-29,South,Louisiana,New Orleans,Women's Apparel,34.77,324,11265.48,4053.15,0.3598,In-store,Apparel,False,2020,2020-07
Sports Direct,1128299,2020-07-29,South,Oklahoma,Tulsa,Women's Athletic Footwear,56.0,220,12320.0,5031.32,0.4084,In-store,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-29,South,Texas,Houston,Women's Athletic Footwear,53.91,187,10081.17,1350.43,0.134,Outlet,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-29,Southeast,Georgia,Savannah,Men's Athletic Footwear,99.57,36,3584.52,764.3,0.2132,Online,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-29,Southeast,Florida,Miami,Women's Apparel,38.62,523,20198.26,8944.02,0.4428,In-store,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-29,Midwest,Illinois,Chicago,Women's Street Footwear,57.83,829,47941.07,22095.13,0.4609,In-store,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-29,West,Nevada,Reno,Men's Athletic Footwear,69.85,739,51619.15,21438.16,0.4153,In-store,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-29,Midwest,Minnesota,Minneapolis,Women's Street Footwear,93.51,733,68542.83,29943.22,0.4369,In-store,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-29,South,Louisiana,Baton Rouge,Men's Street Footwear,68.34,679,46402.86,12426.57,0.2678,Online,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-29,Southeast,Virginia,Richmond,Women's Apparel,39.69,503,19964.07,6222.09,0.3117,Online,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-30,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,78.82,264,20808.48,6780.46,0.3259,Online,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-30,Midwest,Ohio,Cleveland,Men's Athletic Footwear,98.15,365,35824.75,13987.14,0.3904,Online,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-30,Northeast,Massachusetts,Boston,Men's Apparel,59.04,705,41623.2,14389.88,0.3457,Online,Apparel,False,2020,2020-07
Walmart,1197831,2020-07-30,South,Tennessee,Nashville,Women's Apparel,28.86,522,15064.92,4999.74,0.3319,Online,Apparel,False,2020,2020-07
Amazon,1128302,2020-07-30,Midwest,Minnesota,Minneapolis,Men's Apparel,32.56,612,19926.72,6955.34,0.349,Online,Apparel,False,2020,2020-07
Amazon,1128302,2020-07-30,Midwest,Ohio,Cleveland,Men's Street Footwear,76.17,70,5331.9,1466.81,0.2751,Online,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-30,Southeast,Virginia,Richmond,Women's Athletic Footwear,81.03,210,17016.3,8065.48,0.474,In-store,Footwear,False,2020,2020-07
Amazon,1128302,2020-07-30,Midwest,Minnesota,Minneapolis,Women's Apparel,17.44,675,11772.0,3251.6,0.2762,Outlet,Apparel,False,2020,2020-07
West Gear,1189833,2020-07-30,Northeast,Pennsylvania,Pittsburgh,Women's Apparel,42.7,660,28182.0,10721.53,0.3804,Online,Apparel,False,2020,2020-07
Walmart,1197831,2020-07-30,Midwest,Minnesota,Saint Paul,Women's Street Footwear,80.63,355,28623.65,14553.9,0.5085,In-store,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-30,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,78.91,487,38429.17,9032.08,0.235,Outlet,Footwear,False,2020,2020-07
Foot Locker,1185732,2020-07-30,Southeast,Virginia,Richmond,Men's Street Footwear,63.86,660,42147.6,13202.64,0.3132,Online,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-30,West,Colorado,Denver,Women's Athletic Footwear,106.2,661,70198.2,28968.67,0.4127,In-store,Footwear,False,2020,2020-07
West Gear,1189833,2020-07-30,South,Louisiana,Baton Rouge,Men's Apparel,48.91,823,40252.93,13662.61,0.3394,In-store,Apparel,False,2020,2020-07
Foot Locker,1185732,2020-07-30,Northeast,New York,Buffalo,Women's Apparel,32.14,433,13916.62,5998.34,0.431,In-store,Apparel,False,2020,2020-07
West Gear,1189833,2020-07-30,South,Louisiana,Baton Rouge,Men's Apparel,52.35,114,5967.9,1795.06,0.3008,Online,Apparel,False,2020,2020-07
Amazon,1128302,2020-07-30,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,84.37,607,51212.59,23467.53,0.4582,In-store,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-30,South,Tennessee,Nashville,Women's Apparel,27.29,658,17956.82,6789.2,0.3781,Online,Apparel,False,2020,2020-07
West Gear,1189833,2020-07-31,South,Texas,Houston,Men's Athletic Footwear,99.88,508,50739.04,13123.41,0.2586,Online,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-31,Southeast,Florida,Orlando,Men's Street Footwear,52.24,246,12851.04,2698.21,0.21,Outlet,Footwear,False,2020,2020-07
Kohl's,1197834,2020-07-31,Southeast,Florida,Tampa,Women's Athletic Footwear,85.89,281,24135.09,6785.12,0.2811,Online,Footwear,False,2020,2020-07
Walmart,1197831,2020-07-31,Midwest,Ohio,Cleveland,Men's Street Footwear,99.66,253,25213.98,9011.73,0.3574,Online,Footwear,False,2020,2020-07
